Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Gallstones,"nausea, severe abdominal pain (upper right), fever",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Migraine,"sensitivity to sound, throbbing pain, sensitivity to light, severe headache, visual aura, vomiting, nausea",Moderate,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Depression,"sleep changes, difficulty concentrating, worsening appetite changes, thoughts of death, loss of interest, persistent sadness",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Common Cold,"sneezing, sore throat, congestion, mild fever, headache, cough",Moderate,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Tuberculosis,"fatigue, persistent cough, slight blood in sputum, fever, mild night sweats, loss of appetite",Mild,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Migraine,"nausea, vomiting, visual aura, throbbing pain, sensitivity to light, sensitivity to sound, severe headache",Moderate,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Typhoid,"weakness, rose spots on chest, sustained high fever",Moderate,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Pneumonia,"rapid breathing, chills, severe high fever, confusion, severe shortness of breath, chest pain",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Food Poisoning,"occasional diarrhea, nausea, occasional stomach cramps",Mild,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Osteoporosis,"loss of height, back pain, stooped posture, decreased mobility, shortness of breath, bone fractures easily",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Typhoid,"occasional sustained high fever, loss of appetite, stomach pain",Mild,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Malaria,"headache, slight vomiting, mild jaundice, occasional sweating",Mild,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Hyperthyroidism,"weight loss, worsening sweating, rapid heartbeat, extreme heat sensitivity, tremor, worsening anxiety",Severe,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
COVID-19,"fever, shortness of breath, fatigue",Moderate,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Malaria,"muscle pain, intense vomiting, severe high fever, jaundice, nausea",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Hyperthyroidism,"bulging eyes, heat sensitivity, slight anxiety, sweating",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Dengue,"nausea, rash, muscle pain",Mild,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Diabetes,"unexplained weight loss, slow healing wounds, excessive thirst, mild fatigue, numbness in extremities, frequent urination, mild blurred vision",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Depression,"feelings of worthlessness, persistent sadness, sleep changes, fatigue, thoughts of death, appetite changes",Moderate,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Jaundice,"yellow eyes, dark urine, abdominal pain, weight loss, fever, confusion",Moderate,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Appendicitis,"severe abdominal pain (lower right), fever, mild vomiting, loss of appetite, constipation",Mild,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Appendicitis,"intense fever, abdominal bloating, loss of appetite",Severe,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Jaundice,"confusion, abdominal pain, pale stools, yellow eyes, dark urine",Severe,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
